genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Pop,"Juanka, Brray, Myke Towers, Anuel AA, Nio Garcia",La Jeepeta - Remix,1mohfLaTJtB2RplHLQVM70,88,0.3,0.815,345241,0.715,4.83e-06,E,0.091,-4.65,Minor,0.207,176.007,4/4,0.7859999999999999
Pop,The Weeknd,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,91,0.00285,0.667,237520,0.7190000000000001,8.1e-05,G,0.0736,-5.371,Minor,0.0346,100.021,4/4,0.7170000000000001
Pop,Sech,Relación,3ZG8N7aWw2meb6UrI5ZmnZ,78,0.125,0.805,184255,0.562,4.96e-06,G,0.14800000000000002,-3.117,Minor,0.105,172.09400000000005,4/4,0.767
Pop,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,93,0.192,0.695,215280,0.762,0.00244,C,0.0863,-3.497,Major,0.0395,120.042,4/4,0.5529999999999999
Pop,Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,92,0.021,0.86,172127,0.758,6.54e-05,B,0.344,-5.16,Major,0.0695,97.014,4/4,0.45299999999999996
Pop,"Bad Bunny, Anuel AA",Hasta Que Dios Diga,06s3QtMJVXw1AJX3UfvZG1,89,0.46399999999999997,0.691,246000,0.765,3.29e-06,G#,0.203,-4.727,Major,0.111,174.021,4/4,0.855
Pop,Jack Harlow,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,92,0.017,0.9229999999999999,139741,0.604,0.0,B,0.272,-6.671,Minor,0.245,145.062,4/4,0.826
Pop,Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2,92,0.0847,0.841,243837,0.728,0.0,G,0.149,-3.37,Major,0.0484,130.049,4/4,0.43
Pop,"Travis Scott, ROSALÍA",TKN (feat. Travis Scott),4w47S36wQGBhGg073q3nt7,90,0.192,0.7759999999999999,129371,0.509,1.49e-06,C,0.115,-6.266,Minor,0.467,94.634,4/4,0.485
Pop,Lewis Capaldi,Before You Go,2gMXnyrvIjhVBUZwvLZDMP,84,0.604,0.45899999999999996,215107,0.575,0.0,D#,0.0885,-4.8580000000000005,Major,0.0573,111.881,4/4,0.183
Pop,"Nengo Flow, Jowell & Randy, Bad Bunny",Safaera,2DEZmgHKAvm41k4J3R2E9Y,92,0.0103,0.607,295177,0.8290000000000001,0.0,D,0.107,-4.074,Major,0.379,96.17200000000001,4/4,0.685
Pop,Melanie Martinez,Play Date,4DpNNXFMMxQEKl7r0ykkWA,91,0.612,0.68,179867,0.7290000000000001,0.0,F,0.22399999999999998,-5.077,Major,0.0475,123.97,4/4,0.446
Pop,"OneRepublic, Kygo",Lose Somebody,1sgDyuLooyvEML4oHspNza,79,0.344,0.58,199549,0.586,0.0,C#,0.0755,-6.882999999999999,Major,0.0357,147.988,4/4,0.507
Pop,"Nicki Minaj, 6ix9ine",TROLLZ (with Nicki Minaj),3dVvWnj4D8JGkKvo6Hucso,85,0.0319,0.7440000000000001,202667,0.42200000000000004,0.00011,C#,0.11,-8.946,Major,0.294,180.00599999999997,4/4,0.493
Pop,"Halsey, Marshmello",Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,91,0.007759999999999999,0.63,172762,0.633,0.0,E,0.0541,-7.087999999999999,Major,0.0457,93.995,4/4,0.452
Pop,Harry Styles,Adore You,3jjujdWJ72nww5eGnfs2E7,88,0.0237,0.6759999999999999,207133,0.7709999999999999,7.000000000000003e-06,G#,0.102,-3.675,Major,0.0483,99.04799999999999,4/4,0.569
Pop,Ava Max,Kings & Queens,76nqCfJOcFFWBJN32PAksn,89,0.00775,0.638,162399,0.688,0.0,C#,0.126,-4.056,Minor,0.0407,129.856,4/4,0.434
Pop,Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,91,0.8370000000000001,0.764,189486,0.32,0.0,B,0.0822,-7.209,Major,0.0546,91.01899999999999,4/4,0.575
Pop,Arizona Zervas,ROXANNE,696DnlkuDOXcMAnKlTgXXK,92,0.0522,0.621,163636,0.601,0.0,F#,0.46,-5.6160000000000005,Minor,0.14800000000000002,116.735,5/4,0.457
Pop,Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,91,0.0546,0.598,175721,0.4270000000000001,5.83e-06,G,0.21,-8.764,Minor,0.0317,76.469,4/4,0.0605
Pop,"Camila Cabello, Shawn Mendes",Señorita,6v3KW9xbzN5yKLt9YKDYA2,83,0.0392,0.759,190800,0.5479999999999999,0.0,A,0.0828,-6.0489999999999995,Minor,0.028999999999999998,116.96700000000001,4/4,0.7490000000000001
Pop,"Drake, Future",Life Is Good (feat. Drake),1K5KBOgreBi5fkEHvg5ap3,79,0.067,0.795,237918,0.574,0.0,D,0.15,-6.903,Minor,0.48700000000000004,142.053,4/4,0.537
,Terno Rei,Roda Gigante,3diK2X88ZnbZAiJCc5wRE4,39,0.147,0.6809999999999999,154000,0.5,0.0402,G#,0.0735,-8.507,Major,0.0256,107.016,4/4,0.339
