column,correlation
acousticness,-0.3591108603564293
danceability,0.22205168902511951
duration_ms,0.019348712180994924
energy,0.23406828166296847
instrumentalness,-0.14789879827460994
liveness,-0.16171411014883802
loudness,0.3215988353274487
speechiness,-0.1620717045209604
tempo,0.08282469733178548
valence,0.04881756127528829
