popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
85,0.884,0.629,184638,0.306,0.0776,0.124,-11.735,0.0424,76.994,0.191
68,0.34,0.7140000000000001,160000,0.82,0.0,0.0801,-1.102,0.444,78.032,0.904
95,0.0686,0.674,176547,0.774,0.00188,0.393,-7.567,0.0892,112.05,0.33
81,0.183,0.8270000000000001,187500,0.629,0.0,0.084,-3.966,0.185,88.064,0.486
88,0.021,0.672,182200,0.855,0.0,0.32299999999999995,-3.764,0.0397,123.056,0.6459999999999999
76,0.0311,0.871,173386,0.341,0.000124,0.0838,-8.932,0.0576,127.001,0.612
67,0.703,0.868,115200,0.479,0.0,0.102,-6.687,0.445,133.928,0.7759999999999999
99,0.247,0.746,181733,0.69,0.0,0.101,-7.956,0.16399999999999998,89.977,0.4970000000000001
79,0.0857,0.58,188900,0.898,0.000254,0.478,-1.928,0.0349,150.018,0.213
71,0.588,0.7659999999999999,199993,0.331,0.0,0.0988,-9.797,0.0401,108.082,0.57
74,0.6990000000000001,0.484,141395,0.7490000000000001,0.861,0.105,-4.176,0.0687,160.006,0.468
78,0.45,0.685,177000,0.764,0.0,0.227,-4.503,0.0664,80.03699999999998,0.315
94,0.0264,0.611,132303,0.688,0.0,0.251,-5.688,0.341,178.46200000000005,0.393
75,0.6609999999999999,0.935,136514,0.8320000000000001,0.000395,0.152,-1.947,0.214,109.086,0.6409999999999999
84,0.115,0.6759999999999999,167573,0.8690000000000001,0.0,0.132,-1.5730000000000002,0.0423,120.029,0.594
88,0.3,0.815,345241,0.715,4.83e-06,0.091,-4.65,0.207,176.007,0.7859999999999999
81,0.113,0.711,177810,0.916,0.0,0.188,-4.678,0.0587,130.013,0.79
67,0.0161,0.953,234963,0.536,1.74e-05,0.103,-9.935,0.203,119.903,0.305
