const,acousticness,danceability,instrumentalness,liveness,speechiness,tempo,y_hat,y
1,0.0686,0.674,0.0018800000000000002,0.39299999999999996,0.0892,112.05,41.50154345586502,95
1,0.183,0.8270000000000001,0.0,0.084,0.185,88.064,43.496853435967246,81
1,0.021,0.672,0.0,0.32299999999999995,0.0397,123.056,42.95878980586247,88
1,0.0311,0.871,0.000124,0.0838,0.0576,127.001,46.49306863170145,76
1,0.703,0.868,0.0,0.102,0.445,133.928,34.40620837176941,67
1,0.247,0.746,0.0,0.10099999999999999,0.16399999999999998,89.977,41.86568840514108,99
1,0.0857,0.58,0.000254,0.478,0.0349,150.018,39.71526041677576,79
1,0.588,0.7659999999999999,0.0,0.0988,0.0401,108.08200000000001,38.15614203543122,71
1,0.6990000000000001,0.484,0.861,0.105,0.0687,160.006,30.620607695016194,74
1,0.45,0.685,0.0,0.22699999999999998,0.0664,80.03699999999998,38.29059517630973,78
1,0.0264,0.611,0.0,0.251,0.341,178.46200000000005,40.249590621396955,94
1,0.6609999999999999,0.935,0.000395,0.152,0.214,109.086,37.05691515119039,75
1,0.115,0.6759999999999999,0.0,0.132,0.0423,120.029,43.317939214928145,84
1,0.3,0.815,4.83e-06,0.091,0.207,176.007,40.74288722100364,88
1,0.113,0.711,0.0,0.188,0.0587,130.013,42.99433718243833,81
1,0.0161,0.953,1.74e-05,0.10300000000000001,0.203,119.90299999999999,46.33889636112922,67
1,0.6659999999999999,0.962,5.7399999999999986e-05,0.17600000000000002,0.0554,130.003,37.96488829181323,72
1,0.386,0.531,0.0,0.942,0.05,123.414,31.493501406833836,72
1,0.627,0.6679999999999999,0.0,0.923,0.0527,108.138,29.7902021832467,73
1,0.35600000000000004,0.48,0.0,0.626,0.195,153.61,32.72932763925941,65
1,0.366,0.7929999999999999,4.27e-06,0.962,0.0336,134.012,34.05132066593505,83
1,0.0883,0.6659999999999999,0.0,0.084,0.174,144.47899999999996,42.817200507843495,81
1,0.292,0.7140000000000001,0.0,0.812,0.0312,93.052,35.97236704126178,81
1,0.342,0.394,0.0,0.982,0.334,157.925,28.140031670967044,79
1,0.255,0.626,0.0,0.16,0.103,100.004,40.48690129760044,74
1,0.621,0.7140000000000001,0.0,0.127,0.0545,123.804,36.73853920837408,81
1,0.591,0.662,0.00233,0.0709,0.0479,176.956,36.65550757246534,82
1,0.86,0.579,2.02e-06,0.0945,0.368,102.374,30.500809649091934,81
1,0.181,0.8109999999999999,2.55e-05,0.0784,0.0615,144.015,43.75896961598871,82
1,0.0917,0.818,0.0,0.0992,0.274,174.03799999999995,43.06789222497978,81
1,0.292,0.616,0.0,0.268,0.106,147.88299999999995,38.51625647910545,80
1,0.384,0.769,0.0,0.949,0.0714,77.487,33.96687696210887,77
1,0.16,0.428,0.0,0.6809999999999999,0.207,176.21200000000005,34.14137004865492,79
1,0.445,0.5429999999999999,0.0,0.95,0.235,153.996,29.136248814489107,79
1,0.24,0.528,0.0,0.333,0.0851,152.37,37.96720736712144,79
1,0.0125,0.794,0.0,0.0952,0.0842,123.941,45.7751145952344,89
1,0.159,0.605,0.0,0.956,0.0481,141.954,34.9755017448264,69
1,0.108,0.59,0.0,0.93,0.0616,167.991,35.396642351522964,70
1,0.479,0.8270000000000001,0.0,0.409,0.0719,135.944,37.13444624369895,64
1,0.611,0.552,0.0,0.763,0.129,117.582,29.623306561236863,78
1,0.515,0.605,0.0,0.419,0.0403,110.081,34.969852258470105,77
1,0.0167,0.77,0.0107,0.353,0.0495,121.975,43.58826680713728,97
1,0.471,0.61,0.0,0.83,0.17600000000000002,81.023,31.52125356838231,77
1,0.331,0.691,0.0,0.0545,0.0455,125.87,41.09668567932323,72
1,0.272,0.624,0.0,0.147,0.0483,76.805,40.95594176597225,77
1,0.445,0.39,0.0,0.911,0.409,195.62,26.403998682470377,70
1,0.0604,0.665,0.0,0.959,0.0567,131.57299999999998,36.882955150155034,78
1,0.488,0.605,0.0,0.333,0.0383,142.061,35.755977629111975,76
1,0.0486,0.741,0.0,0.965,0.0456,124.984,37.84216799451216,76
1,0.14400000000000002,0.457,0.0,0.679,0.0278,77.048,36.865346788656225,79
1,0.5710000000000001,0.643,0.0,0.17600000000000002,0.0986,146.048,35.82258911020424,62
1,0.556,0.8029999999999999,1.47e-06,0.0975,0.0344,120.134,38.869296960815205,73
1,0.17800000000000002,0.68,0.0,0.223,0.0589,173.997,41.1117648791788,78
1,0.00146,0.514,9.54e-05,0.0897,0.0598,171.005,43.08501587217297,100
1,0.0518,0.741,0.0,0.491,0.0282,128.036,41.82414867984833,76
1,0.688,0.825,0.000161,0.17,0.0988,98.078,36.440415780965445,72
1,0.731,0.726,0.0,0.696,0.135,144.026,29.87718926768663,97
1,0.0391,0.339,0.0,0.0809,0.0339,133.096,41.56712249670871,68
1,0.331,0.632,0.0,0.16,0.0794,91.81,39.75937804113547,78
1,0.0601,0.695,0.00013000000000000002,0.242,0.096,145.984,42.69604123861543,78
1,0.098,0.8809999999999999,0.0187,0.101,0.0343,124.023,45.673862153910925,81
1,0.596,0.862,0.0,0.108,0.335,99.864,36.8554600068282,77
1,0.021,0.672,0.0,0.32299999999999995,0.0397,123.056,42.95878980586247,88
1,0.00337,0.8240000000000001,6.42e-06,0.217,0.05,120.002,45.44772641807797,0
1,0.469,0.637,0.0,0.343,0.198,118.889,35.319599955916665,76
1,0.289,0.83,3.04e-06,0.113,0.209,81.604,41.74089814611587,87
