,popularity,acousticness,danceability,duration_ms,instrumentalness,liveness,loudness,speechiness,tempo,valence
popularity,1,-0.3591108603564293,0.2220516890251195,0.019348712180994924,-0.14789879827460992,-0.16171411014883807,0.32159883532744865,-0.16207170452096042,0.08282469733178546,0.048817561275288295
acousticness,0,1,-0.37901849667271076,0.010293673524700321,0.305213228358844,0.07886900399573496,-0.693156642115432,0.1726650739775692,-0.260823464889898,-0.3485773343343564
danceability,0,0,1,-0.12425781527612617,-0.37087197742223166,-0.026898636690025932,0.46054245075009836,0.13313748064571926,0.04678648502280258,0.5876006205657331
duration_ms,0,0,0,1,0.06961765868033819,0.02359777090199305,-0.042928594155347284,-0.011579697937021042,-0.03005523126689794,-0.14698111301047606
instrumentalness,0,0,0,0,1,-0.16271244924114242,-0.5013820670288323,-0.19164774454214856,-0.10928794027870355,-0.331213620139486
liveness,0,0,0,0,0,1,0.05791510766951827,0.555546859658789,-0.06202087074057257,0.005851471442661931
loudness,0,0,0,0,0,0,1,0.0008022029195601283,0.2462791798165043,0.42693817514571486
speechiness,0,0,0,0,0,0,0,1,-0.1015909802103491,0.018769444718532244
tempo,0,0,0,0,0,0,0,0,1,0.15902662427688738
valence,0,0,0,0,0,0,0,0,0,1
